Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics
MNI_MNI.img	SylvianFissureExt_R	10937	11.8986	110.9413	59.4698	19.1549	
MNI_MNI.img	ParietSul_L	12095	14.0640	105.8605	55.7217	17.4663	
MNI_MNI.img	ParietSul_R	11654	14.0394	107.9528	53.3095	18.5276	
MNI_MNI.img	CinguSul_L	6093	14.7503	98.7034	57.9596	17.1729	
MNI_MNI.img	CinguSul_R	6884	12.0876	98.1384	58.4202	16.1884	
MNI_MNI.img	OcciptSul_L	4176	21.8449	101.4314	60.7632	14.1998	
MNI_MNI.img	OcciptSul_R	3552	15.7378	99.6427	59.9217	14.5587	
MNI_MNI.img	TempSul_L	3557	19.1296	95.9036	64.1769	12.5706	
MNI_MNI.img	TempSul_R	2458	21.1575	93.1658	62.3599	13.8306	



Type1-L4 Statistics

MNI_MNI.img	SFG_L	19982	38.7721	175.8717	112.2882	23.3412	
MNI_MNI.img	SFG_R	22096	44.2145	182.5022	115.1029	24.1564	
MNI_MNI.img	MFG_L	17471	46.5115	180.0137	111.6017	23.8842	
MNI_MNI.img	MFG_R	18288	40.7229	186.5206	111.8942	24.0545	
MNI_MNI.img	IFG_L	9812	36.3553	192.3922	114.7092	25.2884	
MNI_MNI.img	IFG_R	8511	44.5400	184.0075	117.0166	25.3991	
MNI_MNI.img	OG_L	8394	42.0991	173.5685	109.5185	23.5799	
MNI_MNI.img	OG_R	8665	29.9906	184.4761	107.7293	23.8053	
MNI_MNI.img	RG_L	5949	45.0985	188.1243	102.8138	25.9967	
MNI_MNI.img	RG_R	6105	51.2900	188.8914	108.3043	26.4835	
MNI_MNI.img	PoCG_L	10527	47.6759	177.5765	119.1475	23.5272	
MNI_MNI.img	PoCG_R	8875	30.8780	182.0575	119.8540	23.5531	
MNI_MNI.img	PrCG_L	12510	46.3634	176.2018	118.1531	22.1230	
MNI_MNI.img	PrCG_R	13256	42.3586	188.5548	120.5874	22.9792	
MNI_MNI.img	SPG_L	6198	52.0346	178.4430	121.8820	24.9239	
MNI_MNI.img	SPG_R	4431	59.6722	184.3578	123.7292	25.1064	
MNI_MNI.img	SMG_L	6673	46.3282	180.7159	114.0343	25.0553	
MNI_MNI.img	SMG_R	5906	51.2328	196.9642	114.8201	23.5817	
MNI_MNI.img	AG_L	6160	44.6819	180.2569	113.3489	24.3986	
MNI_MNI.img	AG_R	8791	35.4011	183.0308	113.7012	24.9143	
MNI_MNI.img	PrCu_L	7395	38.5046	188.4417	113.6790	24.7970	
MNI_MNI.img	PrCu_R	7640	41.5169	191.3773	112.6308	23.9998	
MNI_MNI.img	STG_L	14130	42.3620	182.8462	106.8622	21.8059	
MNI_MNI.img	STG_R	14331	28.6236	186.7751	108.3936	20.9198	
