Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	

MNI_MNI.img - 0	Frontal_L	124902	36.3553	218.1323	141.2289	40.5278	
MNI_MNI.img - 0	Frontal_R	132128	29.9906	224.6745	143.9205	40.7727	
MNI_MNI.img - 0	Parietal_L	72760	38.5046	217.0479	151.3070	40.3912	
MNI_MNI.img - 0	Parietal_R	72176	30.8780	223.2191	152.6564	40.8330	
MNI_MNI.img - 0	Temporal_L	77265	25.3128	215.4616	130.8875	42.0832	
MNI_MNI.img - 0	Temporal_R	82793	26.1262	219.5043	133.1058	41.7264	
MNI_MNI.img - 0	Limbic_L	13745	49.0066	206.6088	135.5784	36.7861	
MNI_MNI.img - 0	Limbic_R	13412	51.6447	208.4356	134.9732	34.2510	
MNI_MNI.img - 0	Occipital_L	58741	25.2750	213.2539	139.6620	41.4475	
MNI_MNI.img - 0	Occipital_R	60592	24.8784	214.4435	138.4676	41.5499	
MNI_MNI.img - 0	Cingulate_L	26015	25.9378	186.6449	104.0726	23.7386	
MNI_MNI.img - 0	Cingulate_R	28167	26.7758	191.7183	100.9783	23.0951	
MNI_MNI.img - 0	Insula_L	9225	40.4588	163.1078	105.1501	20.9067	
MNI_MNI.img - 0	Insula_R	8718	48.3830	170.5390	111.4667	22.2043	
MNI_MNI.img - 0	Striatum_L	10934	80.4292	186.2568	140.2730	19.1424	
MNI_MNI.img - 0	Striatum_R	11341	82.5775	186.1286	141.8006	19.8429	
MNI_MNI.img - 0	GP_L	1453	157.0869	216.6713	189.1712	10.2908	
MNI_MNI.img - 0	GP_R	1425	152.8018	218.8680	190.2189	10.5043	
MNI_MNI.img - 0	Thalamus_L	6967	117.8069	202.5743	163.5141	15.5783	
MNI_MNI.img - 0	Thalamus_R	6930	114.5473	204.0684	161.5153	16.8637	
MNI_MNI.img - 0	BasalForebrain_L	3237	44.8943	222.8716	158.1669	28.8763	
MNI_MNI.img - 0	BasalForebrain_R	3286	44.6248	217.1434	158.7246	28.4176	
MNI_MNI.img - 0	midbrain_L	6380	126.1356	238.1416	192.6080	17.2447	
MNI_MNI.img - 0	midbrain_R	6552	115.9245	238.2633	193.1127	18.4411	
MNI_MNI.img - 0	Cerebellum_R	54312	37.1814	198.4759	118.4770	22.0576	
MNI_MNI.img - 0	Cerebellum_L	53661	27.1158	204.1574	116.7149	22.8232	
MNI_MNI.img - 0	Pons_L	8895	116.6742	233.0371	192.7346	12.7297	
MNI_MNI.img - 0	Pons_R	9486	128.0890	229.3414	192.1539	12.5806	
MNI_MNI.img - 0	Medulla_L	2781	0.0000e+000	225.6097	176.5358	33.5616	
MNI_MNI.img - 0	Medulla_R	2900	0.0000e+000	227.3000	175.7583	30.2781	
MNI_MNI.img - 0	ant_DPWM_L	33102	81.2975	225.3377	193.6668	12.5076	
MNI_MNI.img - 0	ant_DPWM_R	32425	82.9922	222.7363	193.5163	12.9660	
MNI_MNI.img - 0	post_DPWM_L	6883	183.0898	214.5966	197.0957	4.4312	
MNI_MNI.img - 0	post_DPWM_R	5860	178.6440	213.7298	196.9555	4.6807	
MNI_MNI.img - 0	CorpusCallosum_L	14300	123.5462	229.6718	192.3394	11.3335	
MNI_MNI.img - 0	CorpusCallosum_R	15098	118.1458	234.0877	192.1671	12.7040	
MNI_MNI.img - 0	inf_DPWM_L	21576	105.9913	225.6047	190.3925	15.4207	
MNI_MNI.img - 0	inf_DPWM_R	19517	102.5826	227.1528	191.7035	14.2132	
MNI_MNI.img - 0	InternalCapsule_L	5738	156.0579	230.8983	196.2749	10.3380	
MNI_MNI.img - 0	InternalCapsule_R	5839	164.6608	224.8264	197.7655	9.2010	
MNI_MNI.img - 0	LimbicWM_L	7800	28.1317	231.1373	178.5324	22.7899	
MNI_MNI.img - 0	LimbicWM_R	7953	59.9364	224.1716	177.7325	23.0362	
MNI_MNI.img - 0	AnteriorLateralVentricle_L	9248	10.8631	161.0750	53.2631	31.6804	
MNI_MNI.img - 0	PosteriorLateralVentricle_L	2215	12.1278	175.9578	55.2433	36.2964	
MNI_MNI.img - 0	InferiorLateralVentricle_L	1560	23.7166	171.1085	89.0437	28.3637	
MNI_MNI.img - 0	AnteriorLateralVentricle_R	10586	9.0122	151.0468	47.6917	32.1556	
MNI_MNI.img - 0	PosteriorLateralVentricle_R	2728	8.4001	173.3707	53.0483	38.6835	
MNI_MNI.img - 0	InferiorLateralVentricle_R	1461	23.8301	165.3247	87.2768	28.7953	
