Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	

MNI_MNI.img - 0	Frontal_L	124902	36.3553	218.1323	141.2289	40.5278	
MNI_MNI.img - 0	Frontal_R	132128	29.9906	224.6745	143.9205	40.7727	
MNI_MNI.img - 0	Parietal_L	72760	38.5046	217.0479	151.3070	40.3912	
MNI_MNI.img - 0	Parietal_R	72176	30.8780	223.2191	152.6564	40.8330	
MNI_MNI.img - 0	Temporal_L	77265	25.3128	215.4616	130.8875	42.0832	
MNI_MNI.img - 0	Temporal_R	82793	26.1262	219.5043	133.1058	41.7264	
MNI_MNI.img - 0	Limbic_L	39760	25.9378	206.6088	114.9641	32.5736	
MNI_MNI.img - 0	Limbic_R	41579	26.7758	208.4356	111.9440	31.5004	
MNI_MNI.img - 0	Occipital_L	58741	25.2750	213.2539	139.6620	41.4475	
MNI_MNI.img - 0	Occipital_R	60592	24.8784	214.4435	138.4676	41.5499	
MNI_MNI.img - 0	Insula_L	9225	40.4588	163.1078	105.1501	20.9067	
MNI_MNI.img - 0	Insula_R	8718	48.3830	170.5390	111.4667	22.2043	
MNI_MNI.img - 0	BasalGang_L	12387	80.4292	216.6713	146.0088	24.1545	
MNI_MNI.img - 0	BasalGang_R	12766	82.5775	218.8680	147.2053	24.3840	
MNI_MNI.img - 0	Thalamus_L	6967	117.8069	202.5743	163.5141	15.5783	
MNI_MNI.img - 0	Thalamus_R	6930	114.5473	204.0684	161.5153	16.8637	
MNI_MNI.img - 0	BasalForebrain_L	3237	44.8943	222.8716	158.1669	28.8763	
MNI_MNI.img - 0	BasalForebrain_R	3286	44.6248	217.1434	158.7246	28.4176	
MNI_MNI.img - 0	midbrain_L	6380	126.1356	238.1416	192.6080	17.2447	
MNI_MNI.img - 0	midbrain_R	6552	115.9245	238.2633	193.1127	18.4411	
MNI_MNI.img - 0	Cerebellum_R	67432	37.1814	231.8558	132.2701	34.8986	
MNI_MNI.img - 0	Cerebellum_L	66521	27.1158	230.6805	130.6210	35.6001	
MNI_MNI.img - 0	Pons_L	8895	116.6742	233.0371	192.7346	12.7297	
MNI_MNI.img - 0	Pons_R	9486	128.0890	229.3414	192.1539	12.5806	
MNI_MNI.img - 0	Medulla_L	2781	0.0000e+000	225.6097	176.5358	33.5616	
MNI_MNI.img - 0	Medulla_R	2900	0.0000e+000	227.3000	175.7583	30.2781	
MNI_MNI.img - 0	AnteriorWM_L	32472	83.1720	225.3377	194.5432	10.4400	
MNI_MNI.img - 0	AnteriorWM_R	31655	82.9922	222.7363	194.6810	10.0553	
MNI_MNI.img - 0	PosteriorWM_L	7513	81.2975	214.5966	193.0204	15.5950	
MNI_MNI.img - 0	PosteriorWM_R	6630	83.4528	213.7298	190.9951	18.8798	
MNI_MNI.img - 0	CorpusCallosum_L	14300	123.5462	229.6718	192.3394	11.3335	
MNI_MNI.img - 0	CorpusCallosum_R	15098	118.1458	234.0877	192.1671	12.7040	
MNI_MNI.img - 0	InferiorWM_L	27314	105.9913	230.8983	191.6283	14.6982	
MNI_MNI.img - 0	InferiorWM_R	25356	102.5826	227.1528	193.0995	13.4723	
MNI_MNI.img - 0	LimbicWM_L	7800	28.1317	231.1373	178.5324	22.7899	
MNI_MNI.img - 0	LimbicWM_R	7953	59.9364	224.1716	177.7325	23.0362	
MNI_MNI.img - 0	LateralVentricle_L	13023	10.8631	175.9578	57.8860	34.1441	
MNI_MNI.img - 0	LateralVentricle_R	14775	8.4001	173.3707	52.5950	35.1471	
MNI_MNI.img - 0	IIIandIV_Ventricle	6696	12.2143	164.6838	74.3209	36.2101	
MNI_MNI.img - 0	FrontSul_L	26388	12.7065	107.0234	57.2031	17.1645	
MNI_MNI.img - 0	FrontSul_R	22855	12.0706	110.9413	59.6109	17.7665	
MNI_MNI.img - 0	CentralSul_L	3357	13.9485	105.5174	54.1686	18.0616	
MNI_MNI.img - 0	CentralSul_R	3420	14.9753	108.1733	50.2273	19.0069	
MNI_MNI.img - 0	TempSul_L	9178	13.6859	112.2530	60.5539	16.2798	
MNI_MNI.img - 0	TempSul_R	7785	11.8986	101.3654	59.5458	17.1684	
MNI_MNI.img - 0	ParietSul_L	12620	14.0640	105.8605	56.0701	17.4103	
MNI_MNI.img - 0	ParietSul_R	12204	14.0394	107.9528	53.3896	18.5170	
MNI_MNI.img - 0	CinguSul_L	6093	14.7503	98.7034	57.9596	17.1729	
MNI_MNI.img - 0	CinguSul_R	6884	12.0876	98.1384	58.4202	16.1884	
MNI_MNI.img - 0	OcciptSul_L	4176	21.8449	101.4314	60.7632	14.1998	
MNI_MNI.img - 0	OcciptSul_R	3552	15.7378	99.6427	59.9217	14.5587	

